,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,5,FC Bayern München,1,72,30,23,4,3,89,29,60,Good
1,4,Borussia Dortmund,2,63,30,20,7,3,76,43,33,Good
2,3,Bayer 04 Leverkusen,3,52,29,15,7,7,68,42,26,Good
3,721,RB Leipzig,4,51,29,15,8,6,64,31,33,Good
4,17,Sport-Club Freiburg,5,51,30,14,7,9,49,34,15,Good
5,28,1. FC Union Berlin,6,47,30,13,9,8,40,39,1,Good
6,1,1. FC Köln,7,46,30,12,8,10,44,44,0,Good
7,2,TSG Hoffenheim,8,45,30,13,11,6,50,45,5,Good
8,15,1. FSV Mainz 05,9,39,30,11,13,6,43,36,7,Bad
9,19,Eintracht Frankfurt,10,39,30,10,11,9,40,42,-2,Bad
10,18,Borussia Mönchengladbach,11,37,30,10,13,7,42,55,-13,Bad
11,36,VfL Bochum 1848,12,36,30,10,14,6,30,43,-13,Bad
12,11,VfL Wolfsburg,13,34,30,10,16,4,34,51,-17,Bad
13,16,FC Augsburg,14,32,30,8,14,8,34,47,-13,Bad
14,9,Hertha BSC,15,29,30,8,17,5,32,66,-34,Bad
15,10,VfB Stuttgart,16,28,30,6,14,10,36,53,-17,Bad
16,38,DSC Arminia Bielefeld,17,26,30,5,14,11,23,46,-23,Bad
17,21,SpVgg Greuther Fürth,18,17,30,3,19,8,24,72,-48,Bad
