,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,524,Paris Saint-Germain,1,71,31,22,4,5,70,29,41,Good
1,516,Olympique de Marseille,2,59,31,17,6,8,51,29,22,Good
2,529,Stade Rennais FC,3,56,32,17,10,5,69,34,35,Good
3,522,OGC Nice,4,54,32,16,9,7,42,28,14,Good
4,576,RC Strasbourg Alsace,5,53,32,14,7,11,53,34,19,Good
5,548,AS Monaco,6,53,32,15,9,8,50,34,16,Good
6,546,Racing Club de Lens,7,50,32,14,10,8,50,41,9,Good
7,523,Olympique Lyonnais,8,49,32,13,8,11,49,40,9,Good
8,521,LOSC Lille,9,48,32,12,8,12,40,38,2,Good
9,543,FC Nantes,10,47,32,13,11,8,41,35,6,Good
10,518,Montpellier Hérault SC,11,42,32,12,14,6,44,44,0,Bad
11,512,Stade Brestois 29,12,39,32,10,13,9,40,47,-7,Bad
12,547,Stade de Reims,13,37,32,8,11,13,34,35,-1,Bad
13,532,Angers SCO,14,34,32,8,14,10,36,46,-10,Bad
14,531,ESTAC Troyes,15,33,32,8,15,9,30,45,-15,Bad
15,525,FC Lorient,16,31,32,7,15,10,32,52,-20,Bad
16,527,AS Saint-Étienne,17,30,32,7,16,9,35,62,-27,Bad
17,541,Clermont Foot 63,18,29,32,7,17,8,32,61,-29,Bad
18,526,FC Girondins de Bordeaux,19,26,32,5,16,11,41,76,-35,Bad
19,545,FC Metz,20,24,32,4,16,12,29,58,-29,Bad
