,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,65,Manchester City,1,74,31,23,3,5,72,20,52,Good
1,64,Liverpool,2,73,31,22,2,7,79,22,57,Good
2,61,Chelsea,3,62,30,18,4,8,64,23,41,Good
3,73,Tottenham Hotspur,4,57,32,18,11,3,56,38,18,Good
4,66,Manchester United,5,54,32,15,8,9,52,44,8,Good
5,57,Arsenal,6,54,31,17,11,3,45,37,8,Good
6,563,West Ham United,7,52,33,15,11,7,52,43,9,Good
7,76,Wolverhampton Wanderers,8,49,32,15,13,4,33,28,5,Good
8,338,Leicester City,9,40,30,11,12,7,46,50,-4,Bad
9,397,Brighton & Hove Albion,10,40,32,9,10,13,29,37,-8,Bad
10,402,Brentford,11,39,33,11,16,6,41,49,-8,Bad
11,340,Southampton,12,39,32,9,11,12,38,52,-14,Bad
12,354,Crystal Palace,13,37,31,8,10,13,43,40,3,Bad
13,67,Newcastle United,14,37,32,9,13,10,36,55,-19,Bad
14,58,Aston Villa,15,36,31,11,17,3,42,46,-4,Bad
15,341,Leeds United,16,33,32,8,15,9,38,68,-30,Bad
16,62,Everton,17,28,30,8,18,4,33,52,-19,Bad
17,328,Burnley,18,25,31,4,14,13,26,45,-19,Bad
18,346,Watford,19,22,32,6,22,4,30,62,-32,Bad
19,68,Norwich City,20,21,32,5,21,6,22,66,-44,Bad
