,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,98,AC Milan,1,71,33,21,4,8,58,29,29,Good
1,108,Inter,2,69,32,20,3,9,68,25,43,Good
2,113,Napoli,3,66,32,20,6,6,58,26,32,Good
3,109,Juventus,4,63,33,18,6,9,50,29,21,Good
4,100,Roma,5,57,32,17,9,6,53,36,17,Good
5,99,Fiorentina,6,56,32,17,10,5,53,40,13,Good
6,110,Lazio,7,56,33,16,9,8,65,48,17,Good
7,102,Atalanta,8,51,31,14,8,9,53,36,17,Good
8,471,U.S. Sassuolo Calcio,9,46,33,12,11,10,58,53,5,Good
9,450,Hellas Verona,10,45,32,12,11,9,56,49,7,Good
10,586,Torino F.C.,11,40,32,10,12,10,36,31,5,Bad
11,115,Udinese Calcio,12,39,31,9,10,12,47,49,-2,Bad
12,103,Bologna,13,38,32,10,14,8,35,45,-10,Bad
13,445,Empoli,14,34,33,8,15,10,42,60,-18,Bad
14,488,Spezia,15,33,33,9,18,6,33,57,-24,Bad
15,584,U.C. Sampdoria,16,29,33,8,20,5,40,56,-16,Bad
16,104,Cagliari,17,28,33,6,17,10,31,61,-30,Bad
17,454,Venezia FC,18,22,32,5,20,7,26,58,-32,Bad
18,107,Genoa,19,22,33,2,15,16,24,54,-30,Bad
19,455,US Salernitana 1919,20,19,31,4,20,7,25,69,-44,Bad
