,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,5,FC Bayern München,1,66,28,21,4,3,85,29,56,Good
1,4,Borussia Dortmund,2,57,28,18,7,3,68,42,26,Good
2,3,Bayer 04 Leverkusen,3,51,28,15,7,6,68,42,26,Good
3,721,RB Leipzig,4,48,28,14,8,6,61,31,30,Good
4,17,SC Freiburg,5,45,28,12,7,9,44,33,11,Good
5,2,TSG 1899 Hoffenheim,6,44,28,13,10,5,50,42,8,Good
6,28,1. FC Union Berlin,7,41,28,11,9,8,34,38,-4,Good
7,1,1. FC Köln,8,40,28,10,8,10,38,41,-3,Good
8,19,Eintracht Frankfurt,9,39,28,10,9,9,39,38,1,Good
9,15,1. FSV Mainz 05,10,38,27,11,11,5,40,31,9,Good
10,36,VfL Bochum 1848,11,35,28,10,13,5,30,40,-10,Bad
11,18,Borussia Mönchengladbach,12,34,28,9,12,7,39,52,-13,Bad
12,11,VfL Wolfsburg,13,31,28,9,15,4,29,45,-16,Bad
13,16,FC Augsburg,14,29,27,7,12,8,32,44,-12,Bad
14,10,VfB Stuttgart,15,27,28,6,13,9,36,51,-15,Bad
15,38,Arminia Bielefeld,16,26,28,5,12,11,23,39,-16,Bad
16,9,Hertha BSC,17,26,28,7,16,5,30,62,-32,Bad
17,21,SpVgg Greuther Fürth 1903,18,16,28,3,18,7,24,70,-46,Bad
