,club_name,avg.age
0,FC Bayern München,25.51852
1,Borussia Dortmund,25.12903
2,Bayer 04 Leverkusen,24.60714
3,RB Leipzig,24.07407
4,SC Freiburg,25.11538
5,TSG 1899 Hoffenheim,25.43333
6,1. FC Union Berlin,27.51852
7,1. FC Köln,25.07143
8,Eintracht Frankfurt,25.06061
9,1. FSV Mainz 05,25.57692
10,VfL Bochum 1848,27.37931
11,Borussia Mönchengladbach,25.80769
12,VfL Wolfsburg,25.0
13,FC Augsburg,25.89655
14,VfB Stuttgart,23.78947
15,Arminia Bielefeld,24.92308
16,Hertha BSC,25.9
17,SpVgg Greuther Fürth 1903,25.03704
