,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,524,Paris Saint-Germain FC,1,68,30,21,4,5,64,28,36,Good
1,516,Olympique de Marseille,2,56,30,16,6,8,49,29,20,Good
2,529,Stade Rennais FC 1901,3,53,30,16,9,5,64,29,35,Good
3,576,RC Strasbourg Alsace,4,51,30,14,7,9,51,32,19,Good
4,522,OGC Nice,5,51,30,15,8,7,40,24,16,Good
5,548,AS Monaco FC,6,47,30,13,9,8,45,31,14,Good
6,521,Lille OSC,7,47,30,12,7,11,38,35,3,Good
7,543,FC Nantes,8,45,30,13,11,6,39,33,6,Good
8,523,Olympique Lyonnais,9,45,30,12,8,10,43,39,4,Good
9,546,Racing Club de Lens,10,44,30,12,10,8,45,40,5,Good
10,518,Montpellier HSC,11,41,30,12,13,5,44,42,2,Bad
11,512,Stade Brestois 29,12,38,30,10,12,8,38,44,-6,Bad
12,547,Stade de Reims,13,36,30,8,10,12,32,32,0,Bad
13,532,Angers SCO,14,32,30,8,14,8,34,44,-10,Bad
14,531,ES Troyes AC,15,32,30,8,14,8,28,42,-14,Bad
15,525,FC Lorient,16,28,30,6,14,10,25,48,-23,Bad
16,541,Clermont Foot 63,17,28,30,7,16,7,30,54,-24,Bad
17,527,AS Saint-Étienne,18,27,30,6,15,9,31,55,-24,Bad
18,545,FC Metz,19,23,30,4,15,11,27,54,-27,Bad
19,526,FC Girondins de Bordeaux,20,23,30,4,15,11,38,70,-32,Bad
