,club_name,avg.age
0,Paris Saint-Germain FC,25.55556
1,Olympique de Marseille,24.14286
2,Stade Rennais FC 1901,24.0
3,RC Strasbourg Alsace,26.3913
4,OGC Nice,24.36364
5,AS Monaco FC,24.27586
6,Lille OSC,25.73913
7,FC Nantes,26.03846
8,Olympique Lyonnais,25.03704
9,Racing Club de Lens,25.36
10,Montpellier HSC,24.88462
11,Stade Brestois 29,25.61538
12,Stade de Reims,24.40741
13,Angers SCO,26.44
14,ES Troyes AC,26.34375
15,FC Lorient,25.57143
16,Clermont Foot 63,26.46154
17,AS Saint-Étienne,24.96774
18,FC Metz,25.7
19,FC Girondins de Bordeaux,25.35484
