,club_name,avg.age
0,Real Madrid CF,27.42308
1,FC Barcelona,25.66667
2,Club Atlético de Madrid,28.45455
3,Sevilla FC,28.23077
4,Real Betis Balompié,29.0
5,Real Sociedad de Fútbol,26.2963
6,Villarreal CF,28.0
7,Athletic Club,26.44
8,Valencia CF,24.91667
9,CA Osasuna,28.0
10,RC Celta de Vigo,27.90476
11,RCD Espanyol de Barcelona,27.34615
12,Rayo Vallecano de Madrid,27.95652
13,Getafe CF,26.4
14,Elche CF,29.33333
15,Granada CF,27.68966
16,Cádiz CF,28.7037
17,RCD Mallorca,27.61538
18,Levante UD,28.84615
19,Deportivo Alavés,27.16
