,club_name,avg.age
0,Manchester City FC,27.04348
1,Liverpool FC,27.11111
2,Chelsea FC,26.85185
3,Tottenham Hotspur FC,25.6087
4,Arsenal FC,24.57143
5,West Ham United FC,28.91667
6,Manchester United FC,28.22222
7,Wolverhampton Wanderers FC,26.0
8,Crystal Palace FC,27.61538
9,Leicester City FC,27.03704
10,Aston Villa FC,26.54545
11,Southampton FC,26.65385
12,Brighton & Hove Albion FC,25.73913
13,Brentford FC,25.69231
14,Newcastle United FC,28.35714
15,Leeds United FC,24.91667
16,Everton FC,27.13333
17,Watford FC,27.89655
18,Burnley FC,29.91667
19,Norwich City FC,25.96
