,team,position,points,won,goalsFor,form,age,overall,value
38,Real Madrid CF,1.0,78.0,24.0,69.0,1.0,25.0,78.12121212121212,31575757.575757574
39,FC Barcelona,2.0,63.0,18.0,61.0,1.0,24.333333333333332,77.54545454545455,26712121.21212121
40,Sevilla FC,3.0,63.0,17.0,49.0,1.0,25.606060606060606,75.21212121212122,17225000.0
41,Atlético de Madrid,4.0,61.0,18.0,59.0,1.0,25.060606060606062,76.18181818181819,26864393.939393938
42,Real Betis Balompié,5.0,57.0,17.0,56.0,1.0,26.774193548387096,75.29032258064517,11622580.64516129
43,Real Sociedad,6.0,55.0,15.0,32.0,1.0,25.92,77.92,19412000.0
44,Villarreal CF,7.0,52.0,14.0,53.0,1.0,26.060606060606062,75.81818181818181,16774242.424242424
45,Athletic Club de Bilbao,8.0,48.0,12.0,39.0,1.0,24.413793103448278,73.37931034482759,11906034.48275862
46,CA Osasuna,9.0,44.0,12.0,34.0,0.0,25.161290322580644,71.61290322580645,6197580.645161291
47,Valencia CF,10.0,42.0,10.0,44.0,0.0,22.3125,72.28125,10578906.25
48,Rayo Vallecano,11.0,40.0,11.0,34.0,0.0,25.892857142857142,71.03571428571429,3875000.0
49,RC Celta de Vigo,12.0,39.0,10.0,36.0,0.0,24.875,71.0625,5942187.5
50,RCD Espanyol de Barcelona,13.0,39.0,10.0,37.0,0.0,25.0,73.15625,8378125.0
51,Elche CF,14.0,38.0,10.0,36.0,0.0,26.96551724137931,71.10344827586206,3593103.4482758623
52,Getafe CF,15.0,35.0,8.0,31.0,0.0,24.322580645161292,71.6774193548387,7291935.483870967
53,RCD Mallorca,16.0,32.0,8.0,29.0,0.0,25.46875,71.3125,4189843.75
54,Cádiz CF,17.0,31.0,6.0,29.0,0.0,26.566666666666666,71.8,4225000.0
55,Granada CF,18.0,30.0,6.0,36.0,0.0,26.09090909090909,72.78787878787878,7456060.606060606
56,Levante Unión Deportiva,19.0,25.0,5.0,41.0,0.0,26.322580645161292,72.61290322580645,6591935.483870967
57,Deportivo Alavés,20.0,25.0,6.0,26.0,0.0,24.8125,70.90625,4690625.0
