nationality,positions,mean_wage,mean_value,mean_overall,count
United Kingdom of Great Britain and Northern Ireland,CM,9712.84090909091,2201909.090909091,63.877272727272725,440
United Kingdom of Great Britain and Northern Ireland,CB,10700.88383838384,2290113.6363636362,64.67171717171718,396
United Kingdom of Great Britain and Northern Ireland,ST,8919.300911854103,2229331.3069908815,63.44984802431611,329
Germany,CB,8112.5,2524559.8591549294,66.05281690140845,284
Spain,CM,15056.0546875,5917988.28125,69.75390625,256
France,CM,13659.83606557377,5074508.196721312,68.34426229508196,244
Germany,CDM,9568.90756302521,3366680.6722689075,66.51680672268908,238
Germany,CM,11876.059322033898,4321758.474576271,67.08050847457628,236
United Kingdom of Great Britain and Northern Ireland,CDM,9972.127659574468,2069319.1489361702,65.1531914893617,235
Spain,CB,12163.938053097345,3718938.053097345,68.69469026548673,226
