,Continent,nationality,ISO-alpha3 Code,overall,overall,overall,overall,overall,overall,overall,overall,value,value,value,value,value,value,value,value,wage,wage,wage,wage,wage,wage,wage,wage
,,,,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
108,Europe,Ukraine,UKR,64.0,70.3125,5.359681937968938,54.0,66.75,71.5,74.0,81.0,64.0,4574453.125,6047217.9171458995,240000.0,1500000.0,2600000.0,4775000.0,32000000.0,64.0,7682.8125,18064.222332340305,500.0,500.0,800.0,3000.0,90000.0
88,Europe,Italy,ITA,327.0,70.02752293577981,7.0729659638876266,50.0,65.0,70.0,75.0,89.0,327.0,6426636.085626911,13095135.441770952,90000.0,962500.0,1900000.0,4800000.0,119500000.0,327.0,19664.831804281344,26848.650190891352,500.0,3000.0,8000.0,26000.0,170000.0
98,Europe,Portugal,PRT,368.0,69.79891304347827,6.309268206402377,52.0,65.0,69.0,74.0,91.0,368.0,6435353.260869565,13644743.446354298,130000.0,1000000.0,1900000.0,4200000.0,111500000.0,368.0,13892.934782608696,30532.577037868778,500.0,2000.0,5000.0,11000.0,270000.0
105,Europe,Spain,ESP,1086.0,69.43922651933701,6.145208237803573,50.0,65.0,69.0,74.0,87.0,1086.0,5172090.239410682,9711646.846688703,0.0,975000.0,1700000.0,4000000.0,90000000.0,1086.0,14273.66482504604,24738.737172282246,500.0,2000.0,5000.0,16000.0,210000.0
76,Europe,Bosnia and Herzegovina,BIH,63.0,69.39682539682539,4.887573718740086,58.0,66.0,69.0,72.0,84.0,63.0,2818650.793650794,4573291.960935692,100000.0,775000.0,1500000.0,2550000.0,25000000.0,63.0,12679.36507936508,24736.23213497833,500.0,2000.0,6000.0,12000.0,155000.0
102,Europe,Serbia,SRB,118.0,69.30508474576271,6.048957633699813,53.0,65.0,69.0,73.0,85.0,118.0,4899576.27118644,10082353.874367787,170000.0,781250.0,1550000.0,3500000.0,63000000.0,118.0,13395.762711864407,21220.923371275294,500.0,2000.0,6000.0,13000.0,130000.0
78,Europe,Croatia,HRV,154.0,69.24025974025975,5.968386426279823,51.0,65.0,69.0,73.0,87.0,154.0,4563246.7532467535,7787406.3015894545,60000.0,843750.0,1650000.0,3700000.0,48000000.0,154.0,13113.311688311689,26387.61100310589,500.0,950.0,3000.0,12000.0,190000.0
104,Europe,Slovenia,SVN,48.0,69.16666666666667,6.278410604309983,57.0,65.75,68.0,73.0,90.0,48.0,4873437.5,14913140.71963616,350000.0,1000000.0,1700000.0,3125000.0,102000000.0,48.0,12900.0,22953.442702890858,500.0,1000.0,3000.0,12000.0,105000.0
103,Europe,Slovakia,SVK,60.0,69.11666666666666,5.59688674558793,58.0,64.75,68.5,73.0,86.0,60.0,4093500.0,9528320.156249998,90000.0,743750.0,1500000.0,3625000.0,70000000.0,60.0,10572.5,21555.595099294886,500.0,1000.0,3000.0,9500.0,150000.0
93,Europe,Montenegro,MNE,23.0,69.08695652173913,5.575213354892274,61.0,65.0,67.0,72.0,84.0,23.0,3873913.0434782607,7518486.603717311,425000.0,937500.0,1300000.0,2650000.0,34500000.0,23.0,13782.608695652174,19755.221454176546,1000.0,2000.0,5000.0,12000.0,74000.0
85,Europe,Greece,GRC,90.0,69.03333333333333,4.904595414483776,58.0,66.0,69.0,72.0,82.0,90.0,3155111.111111111,4300861.487897211,180000.0,1100000.0,1800000.0,3325000.0,25000000.0,90.0,7247.222222222223,12285.78094976335,500.0,500.0,2000.0,10000.0,76000.0
101,Europe,Russia,RUS,79.0,68.10126582278481,6.307494396084507,55.0,63.0,68.0,72.5,81.0,79.0,3121962.025316456,4346983.364395855,160000.0,825000.0,1500000.0,3450000.0,24500000.0,79.0,16474.050632911392,15052.82335890269,500.0,3000.0,11000.0,25500.0,53000.0
92,Europe,Malta,MLT,2.0,68.0,5.656854249492381,64.0,66.0,68.0,70.0,72.0,2.0,1637500.0,1219759.1975467945,775000.0,1206250.0,1637500.0,2068750.0,2500000.0,2.0,7000.0,7071.067811865475,2000.0,4500.0,7000.0,9500.0,12000.0
83,Europe,France,FRA,961.0,67.53381893860562,6.8807665879621265,50.0,63.0,67.0,72.0,91.0,961.0,4770957.336108221,11736199.032411909,60000.0,675000.0,1300000.0,3100000.0,194000000.0,961.0,12980.020811654527,27924.418104195112,500.0,1000.0,3000.0,13000.0,450000.0
72,Europe,Albania,ALB,47.0,67.51063829787235,5.535939260573787,57.0,63.5,67.0,71.0,79.0,47.0,3056382.9787234045,4786976.978142803,250000.0,725000.0,1200000.0,2350000.0,19500000.0,47.0,11553.191489361701,15941.81814222976,500.0,2000.0,3000.0,16000.0,62000.0
86,Europe,Hungary,HUN,34.0,67.44117647058823,6.629553559038261,52.0,62.25,66.0,71.0,85.0,34.0,4079558.8235294116,7689829.210347505,90000.0,837500.0,1300000.0,2100000.0,31000000.0,34.0,10336.764705882353,21187.132704686337,500.0,612.5,2000.0,7500.0,87000.0
94,Europe,Netherlands,NLD,454.0,67.10572687224669,6.450854301130957,50.0,62.0,67.0,71.0,89.0,454.0,4264207.04845815,10391381.008290697,90000.0,700000.0,1400000.0,2900000.0,119500000.0,454.0,10670.484581497798,23879.400568452125,500.0,1000.0,3000.0,10000.0,240000.0
75,Europe,Belgium,BEL,313.0,66.88817891373802,6.931229555235814,54.0,62.0,67.0,71.0,91.0,313.0,4162124.6006389777,11370756.557342524,90000.0,650000.0,1300000.0,2600000.0,125500000.0,313.0,13266.932907348242,33705.18155476566,500.0,2000.0,4000.0,10000.0,350000.0
95,Europe,North Macedonia,MKD,29.0,66.55172413793103,6.293909793809475,55.0,62.0,66.0,71.0,78.0,29.0,2548448.275862069,4342796.602143164,230000.0,575000.0,925000.0,1900000.0,17000000.0,29.0,6777.586206896552,9598.126549031927,500.0,1000.0,2000.0,7000.0,38000.0
73,Europe,Austria,AUT,305.0,66.11475409836065,5.608670334072698,54.0,63.0,66.0,69.0,85.0,305.0,2254409.8360655736,4746211.385136879,60000.0,575000.0,975000.0,1900000.0,45000000.0,305.0,8191.475409836065,15725.796234973284,500.0,2000.0,4000.0,9000.0,210000.0
84,Europe,Germany,DEU,1231.0,65.7766043866775,6.124160218277703,51.0,62.0,65.0,69.0,90.0,1231.0,2855702.68074736,8618314.522992326,25000.0,550000.0,925000.0,1800000.0,108000000.0,1231.0,8803.411860276197,20082.077935398116,500.0,1000.0,3000.0,8000.0,310000.0
91,Europe,Luxembourg,LUX,16.0,65.75,5.347896782848375,57.0,62.75,66.0,69.75,73.0,16.0,1304687.5,1182730.5536342587,350000.0,556250.0,925000.0,1675000.0,4900000.0,16.0,5384.375,5748.904787000738,500.0,1000.0,3500.0,6750.0,18000.0
107,Europe,Switzerland,CHE,194.0,65.52061855670104,7.632225626197613,49.0,60.0,67.0,70.75,85.0,194.0,2892757.7319587627,5655280.672067673,60000.0,500000.0,1000000.0,2375000.0,37000000.0,194.0,9014.690721649484,13052.442177425763,500.0,2000.0,4000.0,10750.0,80000.0
79,Europe,Denmark,DNK,301.0,65.38870431893687,6.749202815810765,50.0,62.0,66.0,70.0,84.0,301.0,2348338.8704318935,4657440.899405028,60000.0,550000.0,1100000.0,2000000.0,38000000.0,301.0,8540.033222591363,16099.020166837045,500.0,2000.0,3000.0,8000.0,120000.0
87,Europe,Iceland,ISL,51.0,65.15686274509804,5.647557167553447,55.0,60.0,65.0,69.0,79.0,51.0,1533333.3333333333,2128612.8503480074,220000.0,537500.0,950000.0,1700000.0,14500000.0,51.0,6677.450980392156,13258.896310498436,500.0,975.0,2000.0,5000.0,83000.0
82,Europe,Finland,FIN,61.0,64.1639344262295,5.802816350327521,55.0,60.0,64.0,67.0,83.0,61.0,1444016.3934426229,2665787.222640517,100000.0,425000.0,650000.0,1200000.0,19000000.0,61.0,5261.475409836065,10986.716955194208,500.0,500.0,1000.0,4000.0,55000.0
81,Europe,Faroe Islands,FRO,1.0,64.0,,64.0,64.0,64.0,64.0,64.0,1.0,525000.0,,525000.0,525000.0,525000.0,525000.0,525000.0,1.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0
109,Europe,United Kingdom of Great Britain and Northern Ireland,GBR,1792.0,63.998325892857146,6.540642809598018,47.0,60.0,64.0,68.0,89.0,1792.0,2402508.370535714,7477505.464227074,0.0,400000.0,737500.0,1500000.0,112000000.0,1792.0,9866.85267857143,20152.160169356666,500.0,2000.0,3000.0,7000.0,240000.0
77,Europe,Bulgaria,BGR,23.0,63.82608695652174,3.6637310083009327,57.0,62.0,64.0,66.0,71.0,23.0,996956.5217391305,647010.150142447,180000.0,562500.0,850000.0,1200000.0,2900000.0,23.0,2760.8695652173915,2443.4958434093746,500.0,1000.0,2000.0,4000.0,9000.0
97,Europe,Poland,POL,368.0,63.77173913043478,5.6435505102975165,51.0,61.0,63.0,67.0,92.0,368.0,1687853.2608695652,6932213.799230767,35000.0,425000.0,687500.0,1100000.0,119500000.0,368.0,5113.179347826087,17283.145983755738,500.0,900.0,1000.0,3000.0,270000.0
106,Europe,Sweden,SWE,375.0,63.26133333333333,6.245937574566627,50.0,59.0,63.0,67.0,83.0,375.0,1430426.6666666667,3898831.592334201,70000.0,350000.0,600000.0,1300000.0,45000000.0,375.0,4152.0,10055.367577184808,500.0,700.0,1000.0,3000.0,105000.0
96,Europe,Norway,NOR,359.0,63.08356545961003,6.313834467876251,50.0,59.0,64.0,67.0,88.0,359.0,1767353.7604456826,8266060.402031593,100000.0,375000.0,725000.0,1400000.0,143500000.0,359.0,3545.961002785515,9749.936490762078,500.0,625.0,1000.0,2000.0,110000.0
100,Europe,Romania,ROU,321.0,63.03115264797508,5.485118638621299,50.0,60.0,64.0,66.0,78.0,321.0,963457.9439252337,1074035.121752082,90000.0,325000.0,600000.0,1100000.0,9500000.0,321.0,3552.6479750778817,6100.389395671083,500.0,1000.0,2000.0,4000.0,47000.0
90,Europe,Lithuania,LTU,11.0,62.63636363636363,3.8281255797773213,55.0,60.5,64.0,66.0,67.0,11.0,704545.4545454546,477992.96305204404,250000.0,425000.0,650000.0,775000.0,2000000.0,11.0,2545.4545454545455,1439.6969378057565,1000.0,2000.0,2000.0,3000.0,5000.0
89,Europe,Latvia,LVA,6.0,62.166666666666664,3.3115957885386114,57.0,60.25,64.0,64.0,65.0,6.0,651666.6666666666,442568.26215474005,60000.0,393750.0,637500.0,881250.0,1300000.0,6.0,1366.6666666666667,950.6138367742533,550.0,737.5,1000.0,1750.0,3000.0
