state_cd,profit_men,profit_women,net_profit,marginal_revenue,avg_revenue_men,avg_revenue_women
WV,85274.5,50113.5,135388.0,28.553979511426352,354.52995475940224,314.71721059743663
DE,8050.2,4802.2,12852.4,120.83512931034483,134.89311249886865,130.73548345974885
DC,26833.25,-16553.25,10280.0,34.09040724924487,343.3522029924843,193.01091105210753
MO,5615.137254901961,2273.2549019607845,7888.392156862745,103.71933725054265,201.09715330006324,180.66345278030792
RI,1278.4444444444443,3643.8888888888887,4922.333333333333,52.45244727417436,180.15197057755174,156.42487985212568
NV,2068.8,1562.6,3631.4,211.34,50.73954417852215,82.10081556074589
MA,1983.126984126984,1543.5555555555557,3526.6825396825398,122.87956172892754,118.94667267261747,119.32538297943043
SD,2461.6153846153848,-455.53846153846155,2006.0769230769233,1641.8036437246963,75.93811643536704,255.2883530411933
ME,3172.8888888888887,-1382.8333333333333,1790.0555555555554,240.95593789341152,112.89710590344475,129.84973057052386
NH,418.0833333333333,68.08333333333333,486.16666666666663,9.579648216237683,143.489961468262,99.12278933118267
NM,320.45454545454544,111.81818181818181,432.27272727272725,475.67240915208606,44.61564339781329,139.96969155650825
ND,0.0,0.0,0.0,3690.077102803734,40.490647172651045,284.31488127051995
VI,0.0,0.0,0.0,204.34782608695653,239.79591836734693,0.0
PR,0.0,0.0,0.0,10.00886582333225,20.322838869403753,11.944570541153983
AK,0.0,0.0,0.0,0.0,0.0,0.0
NJ,-2301.8888888888887,-2463.6444444444446,-4765.533333333333,8.576300703867716,113.91363474614579,99.57886513018224
NY,-4705.121621621622,-4548.114864864865,-9253.236486486487,30.02240305735842,103.87564358193464,91.19645755914908
PA,-3441.6328125,-7051.21875,-10492.8515625,141.64594681191926,124.0827449134369,126.33253982369493
WY,2068.875,-32476.25,-30407.375,757.9975349219392,152.69009942585072,240.8283082077052
MN,1758.2444444444445,-32241.68888888889,-30483.444444444445,233.20407608695658,39.134998862024894,70.56918382018516
NC,-15891.078125,-20146.453125,-36037.53125,86.4504391468005,175.52376847861348,156.40448669422932
TN,14402.232558139534,-52852.16279069767,-38449.93023255814,291.1223100886652,164.82180797466532,193.99388941163446
VT,-19825.714285714286,-20991.571428571428,-40817.28571428571,84.54749568221088,165.10091191502156,139.14303672443208
TX,1306.6095238095238,-50462.485714285714,-49155.87619047619,327.0942894852618,61.27249734083584,111.10153293989967
CA,-22010.78453038674,-27153.839779005524,-49164.62430939227,76.00948279268245,81.82727972741448,80.8784078130387
MT,1519.090909090909,-50684.27272727273,-49165.181818181816,321.6272617611575,136.65313741064335,148.0804828973843
IL,-15520.827956989247,-33812.51612903226,-49333.344086021505,25.019948260994575,122.07197258187358,111.10573119320286
FL,-5349.460317460317,-44882.12698412698,-50231.5873015873,94.64507137237268,90.9468720001219,91.6284635908654
GA,-2347.8039215686276,-51614.82352941176,-53962.62745098039,45.38332287717192,95.29137015532729,81.97648017698084
CT,-23882.47619047619,-31430.428571428572,-55312.90476190476,75.52999057887571,236.39570157848732,204.6780871395843
CO,2650.2272727272725,-62318.09090909091,-59667.86363636364,1314.5891472868225,109.56852737716288,174.92880688889636
MS,5111.357142857143,-70246.64285714286,-65135.28571428571,179.27591858313502,83.6199219281921,112.34998491512775
OH,-23470.515151515152,-46469.15151515151,-69939.66666666666,230.36039495337386,104.62638960585724,113.88895923274312
KS,1860.9318181818182,-72226.68181818182,-70365.75,223.6585591133006,236.49767327945136,202.58988611098508
WI,-29941.542857142857,-43137.885714285716,-73079.42857142858,102.13475843708405,81.9311781978593,84.90814796012553
AL,544.1463414634146,-79197.70731707317,-78653.56097560975,281.1980522862203,67.10910256983907,114.77268142239332
IA,-5344.463414634146,-74927.0,-80271.46341463414,15.651821862348118,143.5476900548244,139.18838079795768
LA,0.0,-80926.30434782608,-80926.30434782608,255.144250363901,15.27682174093219,89.663551964369
OK,1190.4516129032259,-85665.74193548386,-84475.29032258064,242.99402298850586,189.01501486620415,198.5873216469629
NE,-1125.7272727272727,-83521.31818181818,-84647.04545454546,30.500644745325616,187.15060981688876,166.81035158015243
MD,-59552.69696969697,-41056.63636363636,-100609.33333333333,69.9755647263248,79.07274927721375,77.85343522561863
MI,-52689.88888888889,-58600.166666666664,-111290.05555555556,184.90520814561185,89.10531344029857,101.50197441039752
AR,19.0,-113126.96,-113107.96,105.43512775986103,108.28715950647666,107.67106990702285
WA,-45960.85,-70659.825,-116620.67499999999,139.50647330389407,94.3049873341868,103.95401375409732
VA,-54675.045454545456,-63137.77272727273,-117812.81818181818,83.3220150157423,117.94206556288249,112.27139796889875
SC,-59668.89473684211,-68346.65789473684,-128015.55263157895,106.20484207778647,213.1650879039489,188.56567612186703
OR,-43108.32142857143,-91346.42857142857,-134454.75,161.91485707275186,116.59904835061666,123.31277605103878
ID,-20396.666666666668,-121804.66666666667,-142201.33333333334,859.8414578587707,55.91664218566392,167.52343305293783
HI,0.0,-143906.75,-143906.75,190.96479487925515,148.07223974763406,163.15065971156795
AZ,-20316.434782608696,-134208.13043478262,-154524.56521739133,131.22397615630877,57.315687719932676,65.5860467414398
IN,-79808.80487804877,-113514.85365853658,-193323.65853658534,74.15043345232021,146.20705378109113,137.68558276042293
UT,-5590.4,-224911.2,-230501.6,1343.9286163522015,36.47717305844326,105.29610196143342
KY,-115279.6,-127371.64,-242651.24,111.98698511595707,164.4522853083819,150.74055110274827
