,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,5,FC Bayern München,1,75,31,24,4,3,92,30,62,Good
1,4,Borussia Dortmund,2,63,31,20,8,3,77,46,31,Good
2,3,Bayer 04 Leverkusen,3,55,31,16,8,7,72,44,28,Good
3,721,RB Leipzig,4,54,31,16,9,6,66,33,33,Good
4,17,Sport-Club Freiburg,5,52,31,14,7,10,52,37,15,Good
5,28,1. FC Union Berlin,6,50,31,14,9,8,42,40,2,Good
6,1,1. FC Köln,7,49,31,13,8,10,47,45,2,Good
7,2,TSG Hoffenheim,8,46,31,13,11,7,52,47,5,Good
8,19,Eintracht Frankfurt,9,40,31,10,11,10,42,44,-2,Bad
9,15,1. FSV Mainz 05,10,39,31,11,14,6,43,41,2,Bad
10,18,Borussia Mönchengladbach,11,38,31,10,13,8,45,58,-13,Bad
11,11,VfL Wolfsburg,12,37,31,11,16,4,39,51,-12,Bad
12,36,VfL Bochum 1848,13,36,31,10,15,6,30,45,-15,Bad
13,16,FC Augsburg,14,35,31,9,14,8,36,47,-11,Bad
14,9,Hertha BSC,15,32,31,9,17,5,34,66,-32,Bad
15,10,VfB Stuttgart,16,28,31,6,15,10,36,55,-19,Bad
16,38,DSC Arminia Bielefeld,17,26,31,5,15,11,24,49,-25,Bad
17,21,SpVgg Greuther Fürth,18,17,31,3,20,8,25,76,-51,Bad
