,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,86,Real Madrid CF,1,78,33,24,3,6,69,29,40,Good
1,81,FC Barcelona,2,63,33,18,6,9,61,33,28,Good
2,559,Sevilla FC,3,63,33,17,4,12,49,27,22,Good
3,78,Atlético de Madrid,4,61,33,18,8,7,59,39,20,Good
4,90,Real Betis Balompié,5,57,33,17,10,6,56,38,18,Good
5,92,Real Sociedad,6,55,33,15,8,10,32,31,1,Good
6,94,Villarreal CF,7,52,33,14,9,10,53,31,22,Good
7,77,Athletic Club de Bilbao,8,48,33,12,9,12,39,34,5,Good
8,79,CA Osasuna,9,44,33,12,13,8,34,44,-10,Bad
9,95,Valencia CF,10,42,33,10,11,12,44,48,-4,Bad
10,87,Rayo Vallecano,11,40,33,11,15,7,34,38,-4,Bad
11,558,RC Celta de Vigo,12,39,33,10,14,9,36,37,-1,Bad
12,80,RCD Espanyol de Barcelona,13,39,33,10,14,9,37,45,-8,Bad
13,285,Elche CF,14,38,33,10,15,8,36,44,-8,Bad
14,82,Getafe CF,15,35,33,8,14,11,31,37,-6,Bad
15,89,RCD Mallorca,16,32,33,8,17,8,29,54,-25,Bad
16,264,Cádiz CF,17,31,33,6,14,13,29,46,-17,Bad
17,83,Granada CF,18,30,33,6,15,12,36,56,-20,Bad
18,88,Levante Unión Deportiva,19,25,33,5,18,10,41,65,-24,Bad
19,263,Deportivo Alavés,20,25,33,6,20,7,26,55,-29,Bad
