,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form
0,65,Manchester City,1,80,33,25,3,5,80,21,59,Good
1,64,Liverpool,2,79,33,24,2,7,85,22,63,Good
2,61,Chelsea,3,66,33,19,5,9,68,28,40,Good
3,57,Arsenal,4,60,33,19,11,3,52,40,12,Good
4,73,Tottenham Hotspur,5,58,33,18,11,4,56,38,18,Good
5,66,Manchester United,6,55,35,15,10,10,54,52,2,Good
6,563,West Ham United,7,52,34,15,12,7,52,44,8,Good
7,76,Wolverhampton Wanderers,8,49,33,15,14,4,33,29,4,Good
8,67,Newcastle United,9,43,34,11,13,10,40,55,-15,Bad
9,338,Leicester City,10,42,32,11,12,9,47,51,-4,Bad
10,397,Brighton & Hove Albion,11,41,34,9,11,14,31,42,-11,Bad
11,402,Brentford,12,40,34,11,16,7,41,49,-8,Bad
12,340,Southampton,13,40,34,9,12,13,40,56,-16,Bad
13,354,Crystal Palace,14,38,33,8,11,14,43,41,2,Bad
14,58,Aston Villa,15,37,32,11,17,4,42,46,-4,Bad
15,341,Leeds United,16,34,33,8,15,10,38,68,-30,Bad
16,328,Burnley,17,31,33,6,14,13,29,45,-16,Bad
17,62,Everton,18,29,32,8,19,5,34,55,-21,Bad
18,346,Watford,19,22,33,6,23,4,31,67,-36,Bad
19,68,Norwich City,20,21,33,5,22,6,22,69,-47,Bad
