,institution_name,addr1_txt,city_txt,state_cd,ClassificationCode,classification_name,EFMaleCount,EFFemaleCount,EFTotalCount,PARTIC_MEN,PARTIC_WOMEN,SUM_FTHDCOACH_MALE,SUM_FTHDCOACH_FEM,MEN_FTHEADCOACH_MALE,MEN_FTHEADCOACH_FEM,WOMEN_FTHDCOACH_MALE,WOMEN_FTHDCOACH_FEM,REV_MEN,REV_WOMEN,EXP_MEN,EXP_WOMEN,division,profit_men,profit_women
4,Alabama A & M University,4900 Meridian Street,Normal,AL,2,NCAA Division I-FCS,1951,3024,4975,0.0,23.0,1,0,0.0,0.0,1.0,0.0,0.0,579985.0,0.0,579989.0,1,0.0,-4.0
26,University of Alabama at Birmingham,Administration Bldg Suite 1070,Birmingham,AL,1,NCAA Division I-FBS,4020,6252,10272,33.0,30.0,1,1,1.0,0.0,0.0,1.0,856140.0,865816.0,856140.0,865816.0,1,0.0,0.0
64,University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,5,NCAA Division II without football,3915,2818,6733,31.0,34.0,2,0,1.0,0.0,1.0,0.0,289306.0,342040.0,289306.0,342040.0,2,0.0,0.0
102,Alabama State University,915 S Jackson Street,Montgomery,AL,2,NCAA Division I-FCS,1258,2188,3446,0.0,23.0,1,0,0.0,0.0,1.0,0.0,0.0,435889.0,0.0,435889.0,1,0.0,0.0
140,The University of Alabama,739 University Blvd,Tuscaloosa,AL,1,NCAA Division I-FBS,13112,15902,29014,0.0,31.0,1,0,0.0,0.0,1.0,0.0,0.0,816094.0,0.0,1883398.0,1,0.0,-1067304.0
178,Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,12,NJCAA Division I,338,379,717,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
216,Auburn University at Montgomery,7440 East Drive,Montgomery,AL,5,NCAA Division II without football,1218,2270,3488,34.0,25.0,1,1,1.0,0.0,0.0,1.0,425768.0,369708.0,414928.0,358676.0,2,10840.0,11032.0
254,Auburn University,P.O. Box 351,Auburn,AL,1,NCAA Division I-FBS,11379,10985,22364,0.0,24.0,0,1,0.0,0.0,0.0,1.0,0.0,168790.0,0.0,2383865.0,1,0.0,-2215075.0
284,Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,6,NCAA Division III with football,568,631,1199,27.0,36.0,1,1,1.0,0.0,0.0,1.0,182336.0,157138.0,182336.0,157138.0,3,0.0,0.0
306,Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,12,NJCAA Division I,308,473,781,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
344,Enterprise State Community College,600 Plaza Drive,Enterprise,AL,12,NJCAA Division I,516,442,958,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
382,Coastal Alabama Community College,1900 U.S. Highway 31 S,Bay Minette,AL,12,NJCAA Division I,1517,1955,3472,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
410,Faulkner University,5345 Atlanta Hwy,Montgomery,AL,9,NAIA Division I,645,836,1481,49.0,33.0,0,0,0.0,0.0,0.0,0.0,611668.0,418342.0,611668.0,418342.0,1,0.0,0.0
427,Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,12,NJCAA Division I,937,1260,2197,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
465,George C Wallace Community College-Dothan,1141 Wallace Drive,Dothan,AL,12,NJCAA Division I,609,1142,1751,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
510,George C Wallace State Community College-Selma,3000 Earl Goodwin Parkway,Selma,AL,12,NJCAA Division I,290,325,615,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
548,Huntingdon College,1500 East Fairview Avenue,Montgomery,AL,6,NCAA Division III with football,442,388,830,23.0,36.0,2,0,1.0,0.0,1.0,0.0,126516.0,123890.0,126516.0,123890.0,3,0.0,0.0
577,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,2,NCAA Division I-FCS,2347,3412,5759,0.0,23.0,1,0,0.0,0.0,1.0,0.0,0.0,582649.0,0.0,582649.0,1,0.0,0.0
599,Jefferson State Community College,2601 Carson Rd,Birmingham,AL,12,NJCAA Division I,1059,1404,2463,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
637,John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,12,NJCAA Division I,1554,1575,3129,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
673,Judson College,302 Bibb St,Marion,AL,20,USCAA,1,195,196,0.0,13.0,1,0,0.0,0.0,1.0,0.0,0.0,149828.0,0.0,149828.0,0,0.0,0.0
711,Lawson State Community College,3060 Wilson Rd SW,Birmingham,AL,12,NJCAA Division I,669,978,1647,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0
