,Country or Area,ISO-alpha3 Code,M49 Code,Region 1,Region 2,Continent
0,Afghanistan,AFG,004,Southern Asia,None,Asia
1,Åland Islands,ALA,248,Northern Europe,None,Europe
2,Albania,ALB,008,Southern Europe,None,Europe
3,Algeria,DZA,012,Northern Africa,None,Africa
4,American Samoa,ASM,016,Polynesia,None,Oceania
5,Andorra,AND,020,Southern Europe,None,Europe
6,Angola,AGO,024,Middle Africa,Sub-Saharan Africa,Africa
7,Anguilla,AIA,660,Caribbean,Latin America and the Caribbean,North America
8,Antarctica,ATA,010,Antarctica,None,Antarctica
9,Antigua and Barbuda,ATG,028,Caribbean,Latin America and the Caribbean,North America
10,Argentina,ARG,032,South America,Latin America and the Caribbean,South America
11,Armenia,ARM,051,Western Asia,None,Asia
12,Aruba,ABW,533,Caribbean,Latin America and the Caribbean,North America
13,Australia,AUS,036,Australia and New Zealand,None,Oceania
14,Austria,AUT,040,Western Europe,None,Europe
15,Azerbaijan,AZE,031,Western Asia,None,Asia
16,Bahamas,BHS,044,Caribbean,Latin America and the Caribbean,North America
17,Bahrain,BHR,048,Western Asia,None,Asia
18,Bangladesh,BGD,050,Southern Asia,None,Asia
19,Barbados,BRB,052,Caribbean,Latin America and the Caribbean,North America
20,Belarus,BLR,112,Eastern Europe,None,Europe
21,Belgium,BEL,056,Western Europe,None,Europe
22,Belize,BLZ,084,Central America,Latin America and the Caribbean,North America
23,Benin,BEN,204,Western Africa,Sub-Saharan Africa,Africa
24,Bermuda,BMU,060,Northern America,None,North America
25,Bhutan,BTN,064,Southern Asia,None,Asia
26,Bolivia,BOL,068,South America,Latin America and the Caribbean,South America
27,"Bonaire, Sint Eustatius and Saba",BES,535,Caribbean,Latin America and the Caribbean,North America
28,Bosnia and Herzegovina,BIH,070,Southern Europe,None,Europe
29,Botswana,BWA,072,Southern Africa,Sub-Saharan Africa,Africa
30,Bouvet Island,BVT,074,South America,Latin America and the Caribbean,South America
31,Brazil,BRA,076,South America,Latin America and the Caribbean,South America
32,British Indian Ocean Territory,IOT,086,Eastern Africa,Sub-Saharan Africa,Africa
33,British Virgin Islands,VGB,092,Caribbean,Latin America and the Caribbean,North America
34,Brunei Darussalam,BRN,096,South-eastern Asia,None,Asia
35,Bulgaria,BGR,100,Eastern Europe,None,Europe
36,Burkina Faso,BFA,854,Western Africa,Sub-Saharan Africa,Africa
37,Burundi,BDI,108,Eastern Africa,Sub-Saharan Africa,Africa
38,Cabo Verde,CPV,132,Western Africa,Sub-Saharan Africa,Africa
39,Cambodia,KHM,116,South-eastern Asia,None,Asia
40,Cameroon,CMR,120,Middle Africa,Sub-Saharan Africa,Africa
41,Canada,CAN,124,Northern America,None,North America
42,Cayman Islands,CYM,136,Caribbean,Latin America and the Caribbean,North America
43,Central African Republic,CAF,140,Middle Africa,Sub-Saharan Africa,Africa
44,Chad,TCD,148,Middle Africa,Sub-Saharan Africa,Africa
45,Chile,CHL,152,South America,Latin America and the Caribbean,South America
46,China PR,CHN,156,Eastern Asia,None,Asia
