,id,team,position,points,playedGames,won,lost,draw,goalsFor,goalsAgainst,goalDifference,form,league
0,5,FC Bayern München,1,75,31,24,4,3,92,30,62,Good,BL1
1,4,Borussia Dortmund,2,63,31,20,8,3,77,46,31,Good,BL1
2,3,Bayer 04 Leverkusen,3,55,31,16,8,7,72,44,28,Good,BL1
3,721,RB Leipzig,4,54,31,16,9,6,66,33,33,Good,BL1
4,17,Sport-Club Freiburg,5,52,31,14,7,10,52,37,15,Good,BL1
5,28,1. FC Union Berlin,6,50,31,14,9,8,42,40,2,Good,BL1
6,1,1. FC Köln,7,49,31,13,8,10,47,45,2,Good,BL1
7,2,TSG Hoffenheim,8,46,31,13,11,7,52,47,5,Good,BL1
8,19,Eintracht Frankfurt,9,40,31,10,11,10,42,44,-2,Bad,BL1
9,15,1. FSV Mainz 05,10,39,31,11,14,6,43,41,2,Bad,BL1
10,18,Borussia Mönchengladbach,11,38,31,10,13,8,45,58,-13,Bad,BL1
11,11,VfL Wolfsburg,12,37,31,11,16,4,39,51,-12,Bad,BL1
12,36,VfL Bochum 1848,13,36,31,10,15,6,30,45,-15,Bad,BL1
13,16,FC Augsburg,14,35,31,9,14,8,36,47,-11,Bad,BL1
14,9,Hertha BSC,15,32,31,9,17,5,34,66,-32,Bad,BL1
15,10,VfB Stuttgart,16,28,31,6,15,10,36,55,-19,Bad,BL1
16,38,DSC Arminia Bielefeld,17,26,31,5,15,11,24,49,-25,Bad,BL1
17,21,SpVgg Greuther Fürth,18,17,31,3,20,8,25,76,-51,Bad,BL1
18,524,Paris Saint-Germain,1,78,34,24,4,6,76,31,45,Good,FL1
19,516,Olympique de Marseille,2,65,34,19,7,8,56,33,23,Good,FL1
20,529,Stade Rennais FC,3,59,34,18,11,5,75,36,39,Good,FL1
21,548,AS Monaco,4,59,34,17,9,8,55,35,20,Good,FL1
22,522,OGC Nice,5,57,34,17,10,7,43,29,14,Good,FL1
23,576,RC Strasbourg Alsace,6,56,34,15,8,11,55,36,19,Good,FL1
24,546,Racing Club de Lens,7,54,34,15,10,9,53,42,11,Good,FL1
25,523,Olympique Lyonnais,8,52,34,14,9,11,56,45,11,Good,FL1
26,521,LOSC Lille,9,51,34,13,9,12,42,40,2,Good,FL1
27,543,FC Nantes,10,50,34,14,12,8,48,41,7,Good,FL1
28,512,Stade Brestois 29,11,45,34,12,13,9,43,48,-5,Bad,FL1
29,518,Montpellier Hérault SC,12,42,34,12,16,6,46,51,-5,Bad,FL1
30,547,Stade de Reims,13,40,34,9,12,13,36,37,-1,Bad,FL1
31,532,Angers SCO,14,35,34,8,15,11,38,51,-13,Bad,FL1
32,525,FC Lorient,15,34,34,8,16,10,33,57,-24,Bad,FL1
33,531,ESTAC Troyes,16,33,34,8,17,9,30,47,-17,Bad,FL1
34,541,Clermont Foot 63,17,33,34,8,17,9,35,63,-28,Bad,FL1
35,527,AS Saint-Étienne,18,31,34,7,17,10,38,68,-30,Bad,FL1
36,526,FC Girondins de Bordeaux,19,27,34,5,17,12,47,84,-37,Bad,FL1
37,545,FC Metz,20,24,34,4,18,12,29,60,-31,Bad,FL1
38,86,Real Madrid CF,1,78,33,24,3,6,69,29,40,Good,PD
39,81,FC Barcelona,2,63,33,18,6,9,61,33,28,Good,PD
40,559,Sevilla FC,3,63,33,17,4,12,49,27,22,Good,PD
41,78,Atlético de Madrid,4,61,33,18,8,7,59,39,20,Good,PD
42,90,Real Betis Balompié,5,57,33,17,10,6,56,38,18,Good,PD
43,92,Real Sociedad,6,55,33,15,8,10,32,31,1,Good,PD
44,94,Villarreal CF,7,52,33,14,9,10,53,31,22,Good,PD
45,77,Athletic Club de Bilbao,8,48,33,12,9,12,39,34,5,Good,PD
46,79,CA Osasuna,9,44,33,12,13,8,34,44,-10,Bad,PD
47,95,Valencia CF,10,42,33,10,11,12,44,48,-4,Bad,PD
48,87,Rayo Vallecano,11,40,33,11,15,7,34,38,-4,Bad,PD
49,558,RC Celta de Vigo,12,39,33,10,14,9,36,37,-1,Bad,PD
50,80,RCD Espanyol de Barcelona,13,39,33,10,14,9,37,45,-8,Bad,PD
51,285,Elche CF,14,38,33,10,15,8,36,44,-8,Bad,PD
52,82,Getafe CF,15,35,33,8,14,11,31,37,-6,Bad,PD
53,89,RCD Mallorca,16,32,33,8,17,8,29,54,-25,Bad,PD
54,264,Cádiz CF,17,31,33,6,14,13,29,46,-17,Bad,PD
55,83,Granada CF,18,30,33,6,15,12,36,56,-20,Bad,PD
56,88,Levante Unión Deportiva,19,25,33,5,18,10,41,65,-24,Bad,PD
57,263,Deportivo Alavés,20,25,33,6,20,7,26,55,-29,Bad,PD
58,65,Manchester City,1,80,33,25,3,5,80,21,59,Good,PL
