,name,nationality,team,positions,age,overall,potential,contract,contract_start,contract_end,contract_length,height,weight,foot,value,wage,attacking,skill,movement,power,mentality,defending,goalkeeping,total
0,L. Messi,Argentina,Paris Saint-Germain,RW ST CF,34,93,93,2021 ~ 2023,2021,2023,2,170,72,Left,78000000.0,320000.0,429,470,451,389,347,79,54,2219
1,R. Lewandowski,Poland,FC Bayern München,ST,32,92,92,2014 ~ 2023,2014,2023,9,185,81,Right,119500000.0,270000.0,430,407,407,424,396,96,51,2211
2,K. Mbappé,France,Paris Saint-Germain,ST LW,22,91,95,2018 ~ 2022,2018,2022,4,182,73,Right,194000000.0,230000.0,411,404,462,411,353,92,42,2175
3,M. Salah,Egypt,Liverpool,RW,29,91,91,2017 ~ 2023,2017,2023,6,175,71,Left,129000000.0,350000.0,402,412,457,399,382,122,62,2236
4,K. De Bruyne,Belgium,Manchester City,CM CAM,30,91,91,2015 ~ 2025,2015,2025,10,181,70,Right,125500000.0,350000.0,406,439,400,408,406,186,56,2301
5,Neymar Jr,Brazil,Paris Saint-Germain,LW CAM,29,91,91,2017 ~ 2025,2017,2025,8,175,68,Right,129000000.0,270000.0,403,446,451,359,367,96,59,2181
6,K. Benzema,France,Real Madrid CF,CF ST,33,91,91,2009 ~ 2023,2009,2023,14,185,81,Right,84000000.0,450000.0,433,409,401,409,367,85,41,2145
7,Cristiano Ronaldo,Portugal,Manchester United,ST,36,91,91,2021 ~ 2023,2021,2023,2,187,83,Right,45000000.0,270000.0,437,411,420,435,353,80,58,2194
8,N. Kanté,France,Chelsea,CDM CM,30,90,90,2016 ~ 2023,2016,2023,7,168,70,Right,100000000.0,230000.0,325,337,424,382,388,269,54,2179
9,J. Oblak,Slovenia,Atlético de Madrid,GK,28,90,92,2014 ~ 2023,2014,2023,9,188,87,Right,102000000.0,105000.0,95,109,302,267,142,57,432,1404
10,M. Neuer,Germany,FC Bayern München,GK,35,90,90,2011 ~ 2023,2011,2023,12,193,93,Right,13500000.0,86000.0,124,169,287,284,188,38,444,1534
11,G. Donnarumma,Italy,Paris Saint-Germain,GK,22,89,93,2021 ~ 2026,2021,2026,5,196,90,Right,119500000.0,110000.0,80,118,292,255,154,50,428,1377
